id;category;name;search_string_1;search_string_2
1;grid-enabled deposit;deposit copy orchestrate;visualize secured;index program
2;Indian;Ball;encryption Secured;compress
3;e-services architectures Circles;time-frame;synergize;unleash Quality
4;salmon;payment Bahraini;infomediaries Ergonomic Handmade;reinvent Alabama
5;Indiana Lead;Liaison Cambridgeshire;Granite support;Dobra hack
6;Architect Rubber;Fantastic Kids;e-markets redundant;blockchains
7;Electronics Cambridgeshire Lempira;Investor Yemen Highway;Keyboard;Plastic seamless ADP
8;Branding intangible;Oman COM;synthesize;Generic
9;pixel Massachusetts;Georgia silver;holistic grid-enabled;Plastic Montana
10;CSS;Intelligent Home Lebanese;empowering AI Practical;mission-critical
