id;account_type;transaction_date;cheque_number;description_1;description_2;amount_cad;amount_usd;is_tracked
1;Kentucky;2021-04-07T01:52:26;Polarised;Facilitator;Response needs-based Operations;38091;15757;false
2;red cross-platform;2021-04-07T03:22:24;Haiti;Engineer Fresh mission-critical;Executive Operations;59276;83747;true
3;Executive Ball e-tailers;2021-04-06T03:56:22;next-generation scalable;Small synthesizing;Gourde Tools;78509;8602;true
4;Bedfordshire JBOD;2021-04-06T06:02:37;Mariana Ergonomic;port enable;Island optical olive;83844;21598;true
5;monitor;2021-04-06T17:34:02;Dynamic generation maximize;Cambridgeshire JSON Montana;Carolina Networked mesh;94028;41000;true
6;Gardens Planner Denar;2021-04-06T14:47:43;SCSI Industrial;Producer;Mexico;87484;4088;false
7;Chief calculating;2021-04-07T02:23:49;Ameliorated;Rustic Electronics;BEAC eyeballs;1166;47008;false
8;card;2021-04-06T19:00:53;Industrial Granite;synergies digital;International Mexico software;47825;16831;false
9;overriding Global hard;2021-04-06T14:50:36;parsing system African;maroon Bedfordshire connecting;utilisation PCI;87030;39230;true
10;application initiatives Persistent;2021-04-06T16:40:15;Bypass Haiti cross-platform;Planner Israel Kids;back-end;32620;65708;true
